model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
517,0.134484286,0.8597,0.7597,0.9382
518,0.122942982,0.8776,0.7852,0.9424
519,0.125013803,0.8671,0.7703,0.9413
520,0.127279028,0.8718,0.7774,0.9408
521,0.122646858,0.8734,0.7792,0.9413
522,0.125001137,0.8702,0.7745,0.9406
523,0.134066306,0.8563,0.7549,0.9373
524,0.125096509,0.8733,0.7791,0.9413
525,0.126441653,0.8704,0.7747,0.9403
526,0.124606225,0.8713,0.7762,0.9414
527,0.122903032,0.8768,0.7842,0.9424
528,0.126156298,0.8667,0.7687,0.9408
529,0.127374034,0.8688,0.7732,0.9403
530,0.124272622,0.873,0.7789,0.9408
531,0.132066273,0.86,0.7595,0.9387
532,0.128157799,0.869,0.772,0.9396
533,0.130917006,0.8649,0.7665,0.9392
534,0.130929978,0.8641,0.7656,0.9388
535,0.128684259,0.869,0.7717,0.9396
536,0.135075609,0.8624,0.7619,0.9375
537,0.126572601,0.8647,0.7669,0.9402
538,0.12630474,0.8698,0.7729,0.941
539,0.127890784,0.8709,0.7749,0.9403
540,0.125676169,0.873,0.7781,0.9411
541,0.129855209,0.8663,0.7681,0.9392
542,0.125639738,0.8751,0.7822,0.9405
543,0.127940637,0.8687,0.7725,0.9399
544,0.128247395,0.8643,0.7668,0.9399
545,0.126895255,0.8727,0.7778,0.9403
546,0.125374893,0.8744,0.7809,0.9414
547,0.125119637,0.8712,0.7766,0.9407
548,0.123321545,0.8759,0.7833,0.9414
549,0.128003919,0.8634,0.7642,0.9395
550,0.125531371,0.8655,0.7692,0.941
551,0.128661279,0.8682,0.7707,0.9399
552,0.125738231,0.871,0.775,0.9413
553,0.126779518,0.8726,0.7771,0.9404
554,0.12657582,0.8723,0.7781,0.9404
555,0.127088193,0.8708,0.7756,0.9397
556,0.127948493,0.869,0.7726,0.9398
557,0.129027715,0.8683,0.7715,0.9391
558,0.126460139,0.8714,0.7761,0.9397
559,0.126771113,0.8703,0.7741,0.9404
560,0.130160791,0.8657,0.7676,0.9393
561,0.127524371,0.873,0.7785,0.9404
562,0.124180388,0.8721,0.7788,0.9413
563,0.128518522,0.866,0.7684,0.9401
564,0.126689381,0.8711,0.7753,0.9406
565,0.124815932,0.8716,0.7766,0.9415
566,0.124309016,0.8747,0.7812,0.9418
567,0.125616225,0.8746,0.7802,0.9408
568,0.123283554,0.8745,0.781,0.9416
569,0.129569237,0.8673,0.7697,0.9398
570,0.125488564,0.8734,0.7795,0.9407
571,0.124351308,0.8729,0.7787,0.9421
572,0.128828795,0.8694,0.7726,0.9396
573,0.127380323,0.8644,0.7685,0.9412
574,0.124138404,0.8709,0.7749,0.9411
575,0.128182337,0.8656,0.7679,0.9401
576,0.133704713,0.8609,0.7607,0.9381
577,0.12673073,0.8737,0.7788,0.9408
578,0.12360444,0.8756,0.7819,0.9417
579,0.125319575,0.8726,0.7772,0.9411
580,0.122969855,0.8776,0.7853,0.9422
581,0.123694849,0.8721,0.7777,0.942
582,0.125099735,0.8734,0.7795,0.9413
583,0.126656421,0.8716,0.7749,0.9412
584,0.125982814,0.8732,0.7785,0.9414
585,0.124239771,0.8767,0.7833,0.9419
586,0.126240502,0.8728,0.7778,0.9408
587,0.12652187,0.8715,0.7759,0.9407
588,0.124643666,0.8718,0.7777,0.9412
589,0.125624538,0.871,0.7756,0.9413
590,0.127074611,0.8711,0.7752,0.9412
591,0.130153726,0.866,0.7678,0.9395
592,0.125127213,0.8727,0.7788,0.9417
593,0.131539907,0.8622,0.763,0.9398
594,0.127472477,0.8718,0.7762,0.9406
595,0.13167135,0.867,0.7697,0.9394
596,0.127274146,0.8697,0.7741,0.9407
597,0.126287647,0.8714,0.775,0.9412
598,0.122162501,0.8784,0.7863,0.9425
599,0.123983029,0.8718,0.7762,0.9414
600,0.124935526,0.874,0.78,0.9414
601,0.125875395,0.8718,0.7768,0.9411
602,0.123426012,0.8741,0.7817,0.942
603,0.124349982,0.8705,0.7749,0.9419
604,0.124092923,0.8745,0.7801,0.9419
605,0.121259148,0.8778,0.7853,0.9422
606,0.124568,0.8771,0.7839,0.9412
607,0.126800874,0.8655,0.7698,0.9408
608,0.127045459,0.8652,0.7669,0.9404
609,0.129726221,0.8679,0.7715,0.9398
610,0.127067268,0.8687,0.7724,0.9402
611,0.123516472,0.8759,0.7831,0.9418
612,0.125348316,0.8707,0.7771,0.9412
