model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
319,0.640209051,0.8372,0.7263,0.924
320,0.64025001,0.8299,0.714,0.9195
321,0.639283191,0.8139,0.6923,0.9097
322,0.639728642,0.8316,0.7181,0.9224
323,0.639500709,0.819,0.7003,0.9181
324,0.640378671,0.7802,0.6465,0.8894
325,0.639679971,0.7596,0.6223,0.8762
326,0.640275918,0.7894,0.661,0.8956
327,0.642675137,0.7219,0.5757,0.8541
328,0.639433791,0.8231,0.7063,0.9164
329,0.641440625,0.7951,0.6686,0.9017
330,0.640007412,0.8007,0.6733,0.9046
331,0.643837108,0.7521,0.6154,0.8776
332,0.642440042,0.778,0.6441,0.891
333,0.639493917,0.8261,0.7084,0.9158
334,0.639459754,0.8327,0.7187,0.9214
335,0.639199652,0.8176,0.697,0.9116
336,0.640610235,0.8248,0.71,0.9178
337,0.638859627,0.8327,0.7198,0.9197
338,0.639086324,0.8322,0.7203,0.9226
339,0.638776635,0.8179,0.6992,0.9144
340,0.63942212,0.8102,0.6902,0.9096
341,0.639302132,0.8281,0.711,0.9159
342,0.639668904,0.7917,0.6638,0.8989
343,0.638555837,0.8034,0.6789,0.9023
344,0.638796302,0.7737,0.6386,0.8811
345,0.640171471,0.7967,0.6709,0.9008
346,0.639228453,0.8213,0.7034,0.916
347,0.638858973,0.7937,0.6633,0.896
348,0.639634078,0.7811,0.6483,0.8865
349,0.639444883,0.7904,0.6607,0.8958
350,0.641742638,0.7426,0.5995,0.8653
351,0.640883091,0.8025,0.6783,0.9067
352,0.640402086,0.7587,0.62,0.8772
353,0.639443596,0.8153,0.6955,0.9125
354,0.639410796,0.7954,0.6673,0.9021
355,0.639315746,0.8359,0.7236,0.9231
356,0.639000445,0.7978,0.6732,0.9039
357,0.639891586,0.7836,0.6525,0.8934
358,0.642618742,0.7512,0.6132,0.8732
359,0.64053361,0.7852,0.6574,0.8937
360,0.639493725,0.7738,0.643,0.8874
361,0.642005724,0.7801,0.6478,0.8914
362,0.639548116,0.7976,0.6732,0.9014
363,0.640676831,0.7961,0.6715,0.9013
364,0.64121399,0.8007,0.6748,0.9005
365,0.639751317,0.7893,0.661,0.8954
366,0.638708493,0.8097,0.6868,0.9104
367,0.638640902,0.834,0.7224,0.9218
368,0.639855019,0.7782,0.6435,0.8868
369,0.638368212,0.8226,0.7034,0.912
370,0.642876008,0.7475,0.6049,0.8652
371,0.638324881,0.8258,0.7098,0.9162
372,0.638567434,0.8181,0.6984,0.9155
373,0.639680256,0.8151,0.6938,0.9109
374,0.63950638,0.8225,0.7047,0.9152
375,0.641155791,0.7864,0.656,0.8926
376,0.639151163,0.8262,0.711,0.917
377,0.638734763,0.8199,0.7004,0.9124
378,0.638754681,0.8243,0.7069,0.9176
379,0.640584874,0.7902,0.6606,0.8922
380,0.640546764,0.7859,0.6557,0.8908
381,0.639820201,0.8338,0.7215,0.9221
382,0.639202081,0.8207,0.7028,0.9177
383,0.640039107,0.7913,0.6652,0.8982
384,0.639585821,0.8312,0.7158,0.9198
385,0.638975403,0.8258,0.708,0.9166
386,0.638940596,0.82,0.7007,0.9132
387,0.643808142,0.7595,0.6196,0.8765
388,0.63951198,0.8022,0.6769,0.9004
389,0.640405748,0.7845,0.652,0.8915
390,0.638149273,0.8266,0.7117,0.9177
391,0.639583781,0.7836,0.6526,0.8886
392,0.638722273,0.8226,0.7055,0.9127
393,0.639043035,0.8124,0.6919,0.9057
394,0.638833723,0.84,0.7309,0.927
395,0.640023149,0.7905,0.6645,0.8954
396,0.638316497,0.7898,0.6628,0.8994
397,0.638609579,0.7777,0.6434,0.89
398,0.6395066,0.7252,0.5775,0.8505
399,0.638656627,0.8036,0.6794,0.9039
400,0.637960071,0.8203,0.7002,0.912
401,0.640206988,0.7611,0.6275,0.8813
402,0.638671859,0.8064,0.6828,0.9058
403,0.639098,0.8162,0.6946,0.91
404,0.63849922,0.8199,0.7012,0.9131
405,0.642069497,0.7542,0.6145,0.8746
406,0.642279068,0.7746,0.6379,0.8833
407,0.638355273,0.8475,0.7424,0.9293
408,0.638086026,0.8437,0.7355,0.928
409,0.641901054,0.7688,0.6323,0.8827
410,0.638832316,0.7856,0.6562,0.8949
411,0.638545564,0.7963,0.67,0.9018
412,0.639088778,0.7911,0.6616,0.8966
413,0.638067891,0.8067,0.6852,0.9064
414,0.639041242,0.7745,0.6382,0.8859
415,0.641202765,0.7658,0.6294,0.8798
416,0.638704914,0.7968,0.6697,0.8999
417,0.638854407,0.7879,0.6585,0.8996
418,0.63878122,0.8179,0.6979,0.9111
419,0.640972719,0.7691,0.6329,0.8821
420,0.639415778,0.7905,0.6617,0.8939
421,0.638229985,0.8374,0.7265,0.9248
422,0.63842401,0.8394,0.729,0.9256
423,0.639868642,0.844,0.7348,0.9288
424,0.638516291,0.8404,0.7325,0.924
425,0.640169272,0.7884,0.6568,0.8927
426,0.638685075,0.7916,0.6621,0.8962
427,0.639050154,0.7884,0.6571,0.8959
428,0.643508876,0.7667,0.6293,0.8817
429,0.639125706,0.7923,0.665,0.8992
430,0.63862133,0.8229,0.7052,0.9145
431,0.638279216,0.8048,0.6806,0.9081
432,0.642516872,0.7349,0.5874,0.8542
433,0.637403903,0.8377,0.7249,0.9247
434,0.637429118,0.8391,0.7307,0.9258
435,0.638911844,0.8257,0.7088,0.9167
436,0.637703052,0.8206,0.7039,0.9138
437,0.638189885,0.8046,0.6835,0.907
438,0.641138379,0.77,0.6346,0.8836
439,0.639347376,0.7963,0.67,0.9016
440,0.640220819,0.8049,0.6795,0.9047
441,0.6382766,0.8364,0.7248,0.9232
442,0.637715397,0.8206,0.7035,0.9153
443,0.63781282,0.8423,0.7345,0.9262
444,0.637988628,0.8123,0.6898,0.9074
445,0.640375027,0.7782,0.6461,0.8888
446,0.639115553,0.7986,0.6724,0.9019
447,0.639068482,0.8086,0.6875,0.9063
448,0.637547664,0.8038,0.6792,0.905
449,0.637812354,0.8192,0.6997,0.9124
