model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
115,0.21135776272186865,0.8184,0.6981,0.9152,
394,0.15583026936421027,0.8495,0.7447,0.9314,
251,0.18044339682047184,0.8366,0.7250,0.9247,
240,0.17566839628494701,0.8444,0.7349,0.9264,
297,0.18492427491224728,0.8254,0.7078,0.9177,
444,0.15022005415879763,0.8594,0.7571,0.9351,
367,0.16016606642649725,0.8546,0.7516,0.9335,
236,0.16471090660645413,0.8391,0.7284,0.9282,
538,0.14846880057683357,0.8668,0.7685,0.9362,
350,0.16828198730945587,0.8446,0.7357,0.9272,
578,0.15366570743230673,0.8662,0.7672,0.9343,
193,0.18714552567555354,0.8271,0.7111,0.9189,
32,0.3061987448197145,0.7428,0.6009,0.8778,
460,0.16796080550322165,0.8574,0.7544,0.9313,
13,0.38241131947590756,0.5323,0.3800,0.8437,
474,0.1472365106527622,0.8666,0.7676,0.9364,
155,0.19360666916920588,0.8214,0.7041,0.9218,
153,0.18100171261108838,0.8286,0.7133,0.9192,
198,0.1854665925869575,0.8375,0.7244,0.9253,
260,0.1774743262391824,0.8429,0.7324,0.9262,
465,0.14757349743292883,0.8641,0.7639,0.9370,
354,0.16937125806625072,0.8513,0.7454,0.9310,
547,0.15020621384565647,0.8619,0.7626,0.9362,
346,0.1631866393180994,0.8447,0.7362,0.9306,
202,0.17993361262174754,0.8342,0.7215,0.9238,
565,0.16150215944418542,0.8628,0.7623,0.9335,
206,0.1701369720009657,0.8352,0.7229,0.9277,
437,0.16336374775721477,0.8460,0.7410,0.9294,
238,0.19372373108680432,0.8372,0.7251,0.9232,
126,0.19373120975035887,0.8192,0.7012,0.9173,
563,0.14761555928450365,0.8606,0.7610,0.9363,
575,0.14927573914711292,0.8620,0.7631,0.9352,
606,0.15635589407040523,0.8649,0.7663,0.9329,
121,0.21705843462393834,0.8129,0.6913,0.9144,
489,0.15688598511310725,0.8553,0.7538,0.9343,
15,0.3704397022724152,0.6076,0.4475,0.8376,
261,0.20244400260540155,0.8185,0.7013,0.9157,
562,0.15141449639430413,0.8627,0.7625,0.9347,
37,0.27326290974250206,0.7507,0.6103,0.8996,
415,0.16050039816361208,0.8581,0.7565,0.9333,
340,0.16775469516332334,0.8546,0.7513,0.9313,
132,0.24951741580779735,0.7814,0.6479,0.8958,
360,0.162005148598781,0.8559,0.7524,0.9335,
333,0.1690214921648686,0.8415,0.7301,0.9239,
248,0.18130223693755956,0.8452,0.7360,0.9269,
216,0.16303730354859278,0.8407,0.7301,0.9279,
467,0.15948631499822324,0.8639,0.7653,0.9359,
617,0.15611013231369164,0.8535,0.7518,0.9326,
158,0.20465991382415477,0.8016,0.6748,0.9132,
355,0.16140162016336734,0.8482,0.7428,0.9287,
422,0.15830211467467822,0.8552,0.7523,0.9323,
256,0.18225338195378965,0.8375,0.7245,0.9237,
8,0.38095322709817153,0.5481,0.3927,0.8466,
271,0.17197178705380514,0.8463,0.7397,0.9295,
583,0.15669554815842554,0.8617,0.7616,0.9340,
647,0.14914243003496758,0.8644,0.7646,0.9352,
598,0.1550355764535757,0.8609,0.7608,0.9329,
304,0.18808950048226578,0.8303,0.7159,0.9207,
49,0.22582245595180073,0.7972,0.6717,0.9105,
414,0.1544063199024934,0.8614,0.7594,0.9345,
539,0.15489519593807366,0.8629,0.7635,0.9354,
111,0.20267502791606462,0.8143,0.6950,0.9179,
449,0.1818412776176746,0.8400,0.7291,0.9232,
89,0.2347545616901838,0.7928,0.6635,0.9017,
440,0.18455398231744766,0.8386,0.7273,0.9210,
592,0.15582562490151478,0.8571,0.7544,0.9334,
55,0.24159060693704165,0.7925,0.6637,0.9078,
38,0.24895544212598067,0.7671,0.6316,0.9011,
497,0.15310030785890727,0.8566,0.7544,0.9346,
120,0.19882537814287038,0.8144,0.6930,0.9163,
217,0.17128684497796573,0.8391,0.7276,0.9259,
280,0.16817620780605536,0.8448,0.7363,0.9290,
399,0.17457690353576955,0.8515,0.7463,0.9302,
152,0.1881647018285898,0.8305,0.7148,0.9214,
423,0.17315286008211284,0.8465,0.7383,0.9275,
379,0.17380257248878478,0.8463,0.7394,0.9261,
5,0.38035491223518664,0.5544,0.3947,0.8443,
312,0.1795682124220408,0.8309,0.7161,0.9213,
370,0.1511748602757087,0.8616,0.7602,0.9333,
165,0.17761585735357724,0.8241,0.7080,0.9236,
579,0.15326815396547316,0.8643,0.7658,0.9350,
321,0.17640780955553054,0.8446,0.7360,0.9254,
407,0.16031250174228961,0.8596,0.7593,0.9338,
18,0.3239393970141044,0.6503,0.4954,0.8732,
549,0.17251724577867067,0.8482,0.7446,0.9265,
24,0.30374900767436397,0.6392,0.4817,0.8722,
196,0.17234839911644276,0.8356,0.7243,0.9253,
418,0.1615513012959407,0.8586,0.7566,0.9337,
627,0.15328209921717645,0.8553,0.7548,0.9346,
210,0.19681501996058684,0.8260,0.7119,0.9203,
377,0.1542768296140891,0.8598,0.7590,0.9331,
448,0.14266641128521698,0.8671,0.7690,0.9374,
79,0.20747494112986783,0.8166,0.6965,0.9163,
612,0.15499071266788703,0.8575,0.7551,0.9323,
404,0.1822489478267156,0.8340,0.7213,0.9208,
54,0.22699501319573476,0.7731,0.6411,0.9085,
439,0.15663459805341867,0.8599,0.7584,0.9343,
35,0.22674204993706484,0.7873,0.6569,0.9084,
450,0.1521324481528539,0.8578,0.7554,0.9349,
168,0.19689888266416697,0.8302,0.7157,0.9247,
640,0.15278051065710874,0.8598,0.7587,0.9341,
154,0.19716708316252782,0.8154,0.6943,0.9115,
64,0.2463648823591379,0.7810,0.6479,0.9103,
476,0.15094694369114361,0.8611,0.7603,0.9351,
412,0.1505491663630192,0.8591,0.7567,0.9346,
243,0.18624377640394063,0.8308,0.7155,0.9210,
631,0.1568842748609873,0.8617,0.7618,0.9335,
302,0.16260730108389487,0.8442,0.7355,0.9289,
586,0.15746666227395717,0.8654,0.7663,0.9338,
329,0.1652457390840237,0.8497,0.7453,0.9309,
358,0.17337468071625783,0.8500,0.7449,0.9282,
144,0.22267277286602902,0.8035,0.6756,0.9060,
139,0.1916708326110473,0.8155,0.6949,0.9177,
190,0.20476480034681466,0.8276,0.7116,0.9182,
361,0.1573077835715734,0.8560,0.7529,0.9327,
319,0.17182363592661343,0.8414,0.7315,0.9276,
239,0.17619915444117326,0.8429,0.7333,0.9285,
644,0.15264070068414395,0.8590,0.7591,0.9334,
638,0.15944611476017878,0.8582,0.7558,0.9321,
63,0.2233861628633279,0.7911,0.6623,0.9056,
253,0.20853323775988358,0.8208,0.7020,0.9164,
402,0.1714930886259446,0.8554,0.7521,0.9322,
384,0.1623188900259825,0.8463,0.7390,0.9284,
119,0.19780218303203584,0.8098,0.6894,0.9190,
540,0.15080855454389866,0.8667,0.7676,0.9365,
345,0.15993767180121862,0.8461,0.7409,0.9320,
570,0.15500196172640873,0.8594,0.7581,0.9334,
503,0.1519205734706842,0.8648,0.7658,0.9356,
526,0.15205105222188509,0.8624,0.7621,0.9359,
274,0.19227589139571558,0.8255,0.7086,0.9190,
128,0.18894589784053656,0.8245,0.7064,0.9228,
267,0.19299543029986896,0.8319,0.7198,0.9244,
290,0.1715319343484365,0.8401,0.7299,0.9258,
473,0.16272097138258126,0.8524,0.7473,0.9320,
416,0.16685713861997312,0.8574,0.7562,0.9319,
187,0.22338651441610777,0.7833,0.6512,0.8955,
620,0.15215101368152179,0.8630,0.7634,0.9340,
431,0.15120313683381448,0.8590,0.7571,0.9350,
156,0.199706241946954,0.8184,0.7003,0.9137,
4,0.3891436780874546,0.5997,0.4426,0.8328,
138,0.1836868145144903,0.8168,0.6985,0.9207,
328,0.1603440530025042,0.8514,0.7465,0.9319,
645,0.15058708018981493,0.8619,0.7613,0.9347,
559,0.14986183184843796,0.8643,0.7655,0.9357,
316,0.1576486370884455,0.8594,0.7567,0.9324,
608,0.15384511466209705,0.8611,0.7602,0.9342,
621,0.14863524001378278,0.8638,0.7651,0.9355,
118,0.22076285733626438,0.8079,0.6823,0.9112,
542,0.15144984458501523,0.8666,0.7687,0.9361,
357,0.15783550567351856,0.8533,0.7479,0.9326,
619,0.15379623105892767,0.8595,0.7587,0.9334,
515,0.16192118995464766,0.8602,0.7591,0.9341,
140,0.2131084708067087,0.8128,0.6895,0.9132,
9,0.3746453363161821,0.5780,0.4193,0.8419,
382,0.1561023716743176,0.8532,0.7490,0.9328,
249,0.1670974588738038,0.8334,0.7198,0.9246,
636,0.15249596547621946,0.8622,0.7612,0.9331,
363,0.16746122516118564,0.8533,0.7502,0.9312,
425,0.15482516208520303,0.8632,0.7635,0.9355,
543,0.1647287123478376,0.8516,0.7468,0.9279,
400,0.151178428874566,0.8615,0.7609,0.9357,
648,0.15362431808159902,0.8607,0.7587,0.9341,
313,0.1860700344810119,0.8248,0.7074,0.9179,
135,0.19162304653571202,0.8170,0.6971,0.9177,
105,0.21288522963340467,0.8167,0.6957,0.9155,
150,0.19780975878238677,0.8207,0.7018,0.9206,
177,0.18476057637196322,0.8320,0.7195,0.9235,
533,0.15585003518141233,0.8626,0.7618,0.9332,
207,0.19389067166126692,0.8235,0.7065,0.9200,
393,0.17345722776192884,0.8431,0.7343,0.9242,
308,0.1709086400958208,0.8491,0.7423,0.9304,
442,0.16311930727500182,0.8600,0.7600,0.9335,
410,0.1728297031842745,0.8452,0.7377,0.9278,
61,0.23422982406157714,0.7754,0.6394,0.8986,
222,0.1742151127411769,0.8293,0.7132,0.9237,
466,0.15745392063489327,0.8624,0.7616,0.9350,
614,0.15198762428302032,0.8679,0.7699,0.9356,
553,0.1490980082979569,0.8609,0.7605,0.9362,
82,0.202597437111231,0.8027,0.6774,0.9115,
632,0.15358972400426865,0.8599,0.7586,0.9334,
279,0.16709667524466149,0.8409,0.7303,0.9283,
174,0.17560948740977508,0.8272,0.7127,0.9230,
182,0.1980032123052157,0.8142,0.6938,0.9156,
233,0.17681042276895964,0.8288,0.7130,0.9213,
478,0.1693152423088367,0.8508,0.7454,0.9296,
463,0.16780007836910393,0.8504,0.7461,0.9303,
615,0.15637387277988288,0.8596,0.7578,0.9323,
21,0.3064713221329909,0.6958,0.5413,0.8726,
51,0.24902427861323723,0.7767,0.6421,0.9023,
551,0.15337461141439584,0.8615,0.7610,0.9337,
71,0.22238922520325735,0.7655,0.6270,0.9051,
637,0.1547205326648859,0.8604,0.7590,0.9340,
29,0.24937411615481744,0.7694,0.6327,0.8994,
493,0.1520866212936548,0.8584,0.7567,0.9336,
278,0.17007773323700978,0.8361,0.7232,0.9265,
571,0.15557767233023276,0.8645,0.7645,0.9341,
104,0.2919620245695114,0.7169,0.5666,0.8571,
201,0.17622769967867777,0.8376,0.7254,0.9246,
555,0.15007027158370384,0.8641,0.7653,0.9362,
408,0.1540096844618137,0.8572,0.7554,0.9356,
405,0.16595836940866251,0.8527,0.7474,0.9295,
20,0.31799967678693625,0.7162,0.5670,0.8653,
623,0.1525392514008742,0.8599,0.7578,0.9351,
388,0.1617171960381361,0.8587,0.7569,0.9321,
468,0.16583579090925363,0.8610,0.7603,0.9336,
264,0.16128894102114896,0.8497,0.7432,0.9299,
110,0.19827028042995012,0.8162,0.6959,0.9170,
149,0.18291679620742798,0.8292,0.7139,0.9213,
234,0.18204101679416804,0.8327,0.7184,0.9210,
85,0.21090410202741622,0.7963,0.6668,0.9082,
228,0.17381411309425648,0.8366,0.7235,0.9245,
161,0.17954717232630804,0.8296,0.7140,0.9222,
338,0.16064227991379224,0.8547,0.7509,0.9326,
145,0.19171651911277038,0.8197,0.7011,0.9188,
74,0.20828870580746578,0.7874,0.6581,0.9116,
211,0.18148294882132457,0.8264,0.7116,0.9215,
536,0.15445052534341813,0.8598,0.7590,0.9343,
276,0.1637017663854819,0.8445,0.7373,0.9309,
471,0.15321654918102118,0.8655,0.7667,0.9367,
595,0.15512003749608994,0.8587,0.7570,0.9342,
613,0.15258507791620035,0.8603,0.7592,0.9343,
263,0.16802082451490255,0.8420,0.7334,0.9289,
599,0.15012495689667188,0.8623,0.7618,0.9358,
324,0.16606467904952857,0.8484,0.7418,0.9301,
491,0.15829690144612238,0.8599,0.7586,0.9344,
67,0.22976436225267557,0.7932,0.6643,0.9054,
496,0.16054483159230307,0.8620,0.7610,0.9349,
341,0.16266916199372364,0.8494,0.7420,0.9280,
87,0.21174549024838668,0.7984,0.6711,0.9091,
530,0.1496457902284769,0.8635,0.7641,0.9364,
513,0.15948092398735192,0.8559,0.7521,0.9322,
172,0.19791566763932888,0.8231,0.7054,0.9164,
375,0.15984677110727016,0.8593,0.7566,0.9331,
506,0.16043183035575426,0.8551,0.7524,0.9329,
58,0.22328025687199374,0.8000,0.6739,0.9143,
508,0.16090412094042852,0.8602,0.7587,0.9331,
372,0.15650480813705003,0.8546,0.7506,0.9343,
